end_station_name,year,number_of_rides
Clinton St & Washington Blvd,2020,14255
Mies van der Rohe Way & Chestnut St,2020,14150
Dearborn St & Monroe St,2020,14058
Daley Center Plaza,2020,13963
State St & Randolph St,2020,13903
Montrose Harbor,2020,13901
Sheffield Ave & Waveland Ave,2020,13747
Rush St & Superior St,2020,13676
Federal St & Polk St,2020,13565
Halsted St & Clybourn Ave,2020,13536
Southport Ave & Waveland Ave,2020,13396
Milwaukee Ave & Grand Ave,2020,13285
Lake Shore Dr & Ohio St,2020,13270
Mies van der Rohe Way & Chicago Ave,2020,13257
Broadway & Belmont Ave,2020,13230
Halsted St & Dickens Ave,2020,12992
Clinton St & Lake St,2020,12882
Michigan Ave & 8th St,2020,12833
Pine Grove Ave & Irving Park Rd,2020,12808
Burnham Harbor,2020,12793
Wabash Ave & Wacker Pl,2020,12423
Green St & Randolph St,2020,12350
Clark St & Lake St,2020,12180
Wilton Ave & Diversey Pkwy,2020,12064
Halsted St & Wrightwood Ave,2020,12035
Sheffield Ave & Webster Ave,2020,12022
Adler Planetarium,2020,11992
Sheridan Rd & Montrose Ave,2020,11913
Wood St & Milwaukee Ave,2020,11636
Shedd Aquarium,2020,11475
Clark St & Newport St,2020,11403
Sheffield Ave & Kingsbury St,2020,11363
Buckingham Fountain,2020,11358
Sheffield Ave & Wrightwood Ave,2020,11303
Clark St & North Ave,2020,11285
Franklin St & Illinois St,2020,11230
Franklin St & Monroe St,2020,11179
Clark St & Chicago Ave,2020,11075
Shore Dr & 55th St,2020,11061
Dusable Harbor,2020,11035
Lincoln Park Conservatory,2020,11011
Franklin St & Jackson Blvd,2020,10963
Loomis St & Lexington St,2020,10946
Clark St & Randolph St,2020,10905
Larrabee St & Kingsbury St,2020,10898
Michigan Ave & 14th St,2020,10822
Sheffield Ave & Willow St,2020,10724
Desplaines St & Jackson Blvd,2020,10686
Sedgwick St & North Ave,2020,10648
Franklin St & Lake St,2020,10609
Peoria St & Jackson Blvd,2020,10573
Clark St & Grace St,2020,10537
Ritchie Ct & Banks St,2020,10537
Sheridan Rd & Irving Park Rd,2020,10503
Franklin St & Chicago Ave,2020,10472
Milwaukee Ave & Wabansia Ave,2020,10335
Sedgwick St & Webster Ave,2020,10260
Michigan Ave & Pearson St,2020,10015
LaSalle Dr & Huron St,2020,9960
Cityfront Plaza Dr & Pioneer Ct,2020,9920
Clarendon Ave & Gordon Ter,2020,9835
Sedgwick St & Huron St,2020,9832
Kedzie Ave & Milwaukee Ave,2020,9751
Lincoln Ave & Diversey Pkwy,2020,9741
Clarendon Ave & Junior Ter,2020,9631
Broadway & Sheridan Rd,2020,9618
Larrabee St & Division St,2020,9567
Fort Dearborn Dr & 31st St,2020,9547
Ravenswood Ave & Lawrence Ave,2020,9404
Racine Ave & Belmont Ave,2020,9342
Damen Ave & Chicago Ave,2020,9324
Southport Ave & Wellington Ave,2020,9297
Michigan Ave & 18th St,2020,9265
Field Blvd & South Water St,2020,9256
Sheffield Ave & Fullerton Ave,2020,9124
Wells St & Polk St,2020,8953
Orleans St & Merchandise Mart Plaza,2020,8814
Damen Ave & Cortland St,2020,8776
Marine Dr & Ainslie St,2020,8766
LaSalle St & Jackson Blvd,2020,8751
Burling St (Halsted) & Diversey Pkwy (Temp),2020,8701
Lincoln Ave & Roscoe St,2020,8696
Aberdeen St & Jackson Blvd,2020,8643
LaSalle St & Washington St,2020,8628
State St & Pearson St,2020,8582
Honore St & Division St,2020,8556
Ashland Ave & Blackhawk St,2020,8516
Greenview Ave & Fullerton Ave,2020,8485
Clark St & Berwyn Ave,2020,8466
Racine Ave & Fullerton Ave,2020,8463
Michigan Ave & Madison St,2020,8331
Dayton St & North Ave,2020,8259
Kimbark Ave & 53rd St,2020,8254
Broadway & Wilson Ave,2020,8207
Halsted St & Willow St,2020,8110
Wabash Ave & Adams St,2020,8090
Desplaines St & Randolph St,2020,8078
Canal St & Madison St,2020,8036
Wabash Ave & 16th St,2020,8035
Ogden Ave & Chicago Ave,2020,8002
Lincoln Ave & Belmont Ave,2020,7999
Clark St & Winnemac Ave,2020,7965
Clifton Ave & Armitage Ave,2020,7954
California Ave & Milwaukee Ave,2020,7805
Broadway & Granville Ave,2020,7757
Ogden Ave & Race Ave,2020,7736
Stetson Ave & South Water St,2020,7729
Larrabee St & Armitage Ave,2020,7699
Michigan Ave & Jackson Blvd,2020,7691
Wolcott Ave & Polk St,2020,7690
Eckhart Park,2020,7682
Lakefront Trail & Wilson Ave,2020,7576
Fairbanks St & Superior St,2020,7532
Calumet Ave & 18th St,2020,7463
University Ave & 57th St,2020,7463
Broadway & Berwyn Ave,2020,7430
Orleans St & Chestnut St (NEXT Apts),2020,7398
Rush St & Hubbard St,2020,7346
Southport Ave & Belmont Ave,2020,7308
Cannon Dr & Fullerton Ave,2020,7301
Noble St & Milwaukee Ave,2020,7270
Southport Ave & Wrightwood Ave,2020,7250
Clark St & Leland Ave,2020,7201
Marshfield Ave & Cortland St,2020,7164
Paulina Ave & North Ave,2020,7048
Clinton St & Roosevelt Rd,2020,6989
Cornell Ave & Hyde Park Blvd,2020,6988
Damen Ave & Division St,2020,6973
Aberdeen St & Monroe St,2020,6963
Sheridan Rd & Buena Ave,2020,6950
Morgan St & Polk St,2020,6893
Western Ave & Winnebago Ave,2020,6892
Carpenter St & Huron St,2020,6881
May St & Taylor St,2020,6872
Broadway & Argyle St,2020,6673
State St & Harrison St,2020,6671
Jefferson St & Monroe St,2020,6613
Aberdeen St & Randolph St,2020,6558
MLK Jr Dr & 29th St,2020,6451
Ada St & Washington Blvd,2020,6424
Wacker Dr & Washington St,2020,6421
Ashland Ave & Chicago Ave,2020,6406
Sangamon St & Washington Blvd,2020,6289
Dearborn St & Adams St,2020,6212
Clinton St & Jackson Blvd,2020,6162
State St & Van Buren St,2020,6111
Wells St & Walton St,2020,6022
Broadway & Ridge Ave,2020,6020
Orleans St & Hubbard St,2020,6013
Clarendon Ave & Leland Ave,2020,5971
Ellis Ave & 60th St,2020,5915
Damen Ave & Thomas St (Augusta Blvd),2020,5881
Clybourn Ave & Division St,2020,5780
Broadway & Thorndale Ave,2020,5713
Clark St & Bryn Mawr Ave,2020,5683
Larrabee St & Oak St,2020,5678
Paulina St & Flournoy St,2020,5613
Western Ave & Walton St,2020,5584
Southport Ave & Clybourn Ave,2020,5485
Halsted St & Polk St,2020,5423
Racine Ave & Wrightwood Ave,2020,5383
Lake Park Ave & 56th St,2020,5273
Franklin St & Adams St (Temp),2020,5238
Logan Blvd & Elston Ave,2020,5231
Western Ave & Leland Ave,2020,5190
Ashland Ave & Wrightwood Ave,2020,5155
Clark St & Ida B Wells Dr,2020,5075
Ashland Ave & Augusta Blvd,2020,5066
Financial Pl & Ida B Wells Dr,2020,5060
Southport Ave & Irving Park Rd,2020,5012
State St & 33rd St,2020,4995
Ellis Ave & 55th St,2020,4983
Sheridan Rd & Loyola Ave,2020,4898
Delano Ct & Roosevelt Rd,2020,4833
Clark St & 9th St (AMLI),2020,4825
Wood St & Augusta Blvd,2020,4805
Sheridan Rd & Lawrence Ave,2020,4803
Lincoln Ave & Belle Plaine Ave,2020,4780
Ashland Ave & Wellington Ave,2020,4771
Michigan Ave & Ida B Wells Dr,2020,4761
Halsted St & Maxwell St,2020,4747
Lake Park Ave & 53rd St,2020,4746
Blue Island Ave & 18th St,2020,4732
Lincoln Ave & Waveland Ave,2020,4717
Wentworth Ave & Cermak Rd,2020,4714
Loomis St & Jackson Blvd,2020,4710
Larrabee St & North Ave,2020,4699
Damen Ave & Leland Ave,2020,4683
Leavitt St & North Ave,2020,4633
Lincoln Ave & Sunnyside Ave,2020,4586
Canal St & Taylor St,2020,4579
Clark St & Montrose Ave,2020,4536
Dearborn St & Van Buren St,2020,4523
Humboldt Blvd & Armitage Ave,2020,4522
Campbell Ave & North Ave,2020,4512
900 W Harrison St,2020,4457
Blackstone Ave & Hyde Park Blvd,2020,4430
Ravenswood Ave & Irving Park Rd,2020,4375
Ashland Ave & Grand Ave,2020,4365
Racine Ave & 18th St,2020,4354
Wolcott (Ravenswood) Ave & Montrose Ave,2020,4322
Larrabee St & Menomonee St,2020,4275
Seeley Ave & Roscoe St,2020,4260
California Ave & Division St,2020,4245
Ashland Ave & Grace St,2020,4240
Canal St & Monroe St,2020,4213
Damen Ave & Charleston St,2020,4196
Damen Ave & Clybourn Ave,2020,4191
Greenview Ave & Diversey Pkwy,2020,4189
Ellis Ave & 58th St,2020,4187
Leavitt St & Armitage Ave,2020,4179
Winthrop Ave & Lawrence Ave,2020,4168
Kedzie Ave & Palmer Ct,2020,4119
Benson Ave & Church St,2020,4084
Western Ave & Division St,2020,4084
Ellis Ave & 53rd St,2020,4062
California Ave & Cortez St,2020,4056
Paulina St & 18th St,2020,4025
Leavitt St & Chicago Ave,2020,3982
Lake Park Ave & 35th St,2020,3977
Damen Ave & Wellington Ave,2020,3966
Throop (Loomis) St & Taylor St,2020,3905
Elizabeth (May) St & Fulton St,2020,3888
Hermitage Ave & Polk St,2020,3850
California Ave & North Ave,2020,3842
LaSalle St & Adams St,2020,3780
HQ QR,2020,3766
Glenwood Ave & Morse Ave,2020,3744
Indiana Ave & 26th St,2020,3736
Damen Ave & Grand Ave,2020,3729
Damen Ave & Foster Ave,2020,3718
Woodlawn Ave & 55th St,2020,3718
Orleans St & Elm St,2020,3684
Milwaukee Ave & Rockwell St,2020,3671
Walsh Park,2020,3662
California Ave & Montrose Ave,2020,3655
Wood St & Taylor St,2020,3608
Canal St & Jackson Blvd,2020,3573
Racine Ave & Randolph St,2020,3519
Morgan St & 18th St,2020,3504
Emerald Ave & 31st St,2020,3458
California Ave & Altgeld St,2020,3457
Calumet Ave & 33rd St,2020,3433
Sedgwick St & Schiller St,2020,3430
Chicago Ave & Washington St,2020,3372
Museum of Science and Industry,2020,3371
Stave St & Armitage Ave,2020,3325
California Ave & Francis Pl (Temp),2020,3320
Troy St & North Ave,2020,3307
Sheridan Rd & Columbia Ave,2020,3285
Campbell Ave & Fullerton Ave,2020,3238
Halsted St & Roosevelt Rd,2020,3213
Morgan Ave & 14th Pl,2020,3196
Field Museum,2020,3123
Rhodes Ave & 32nd St,2020,3122
Clinton St & Tilden St,2020,3008
Wood St & Chicago Ave,2020,3000
Ashland Ave & Lake St,2020,2993
Clark St & Elmdale Ave,2020,2954
Wood St & Hubbard St,2020,2889
Sheridan Rd & Noyes St (NU),2020,2868
Eastlake Ter & Rogers Ave,2020,2859
Indiana Ave & 31st St,2020,2852
Albany Ave & Bloomingdale Ave,2020,2850
Southport Ave & Clark St,2020,2834
Racine Ave & Congress Pkwy,2020,2825
WATSON TESTING - DIVVY,2020,2819
Chicago Ave & Sheridan Rd,2020,2806
Winchester Ave & Elston Ave,2020,2782
Burling St & Diversey Pkwy,2020,2775
State St & 19th St,2020,2769
Washtenaw Ave & Lawrence Ave,2020,2750
Sheridan Rd & Greenleaf Ave,2020,2732
Damen Ave & Sunnyside Ave,2020,2728
Elston Ave & Wabansia Ave,2020,2725
Lincoln Ave & Addison St,2020,2725
Ashland Ave & Belle Plaine Ave,2020,2702
California Ave & Fletcher St,2020,2702
Ashland Ave & 13th St,2020,2666
Spaulding Ave & Armitage Ave,2020,2664
Paulina St & Montrose Ave,2020,2622
Damen Ave & Melrose Ave,2020,2611
Damen Ave & Cullerton St,2020,2605
Drake Ave & Fullerton Ave,2020,2601
Western Ave & Roscoe St,2020,2556
Ravenswood Ave & Berteau Ave,2020,2520
Campbell Ave & Montrose Ave,2020,2511
Lake Park Ave & 47th St,2020,2500
Wabash Ave & Cermak Rd,2020,2484
Calumet Ave & 21st St,2020,2477
63rd St Beach,2020,2456
Clark St & Schreiber Ave,2020,2450
Western Ave & Congress Pkwy,2020,2446
State St & 35th St,2020,2442
Greenview Ave & Jarvis Ave,2020,2433
Western Ave & Fillmore St,2020,2402
Halsted St & 18th St,2020,2387
Cottage Grove Ave & Oakwood Blvd,2020,2385
Kosciuszko Park,2020,2380
Clinton St & 18th St,2020,2317
Laflin St & Cullerton St,2020,2310
Artesian Ave & Hubbard St,2020,2308
Leavitt St & Lawrence Ave,2020,2294
Rockwell St & Eastwood Ave,2020,2268
Chicago Ave & Dempster St,2020,2252
Harper Ave & 59th St,2020,2251
California Ave & Byron St,2020,2203
South Shore Dr & 71st St,2020,2196
Central Park Ave & Bloomingdale Ave,2020,2188
Talman Ave & Addison St,2020,2158
University Library (NU),2020,2153
Lincoln Ave & Winona St,2020,2140
Greenwood Ave & 47th St,2020,2135
Western Ave & Monroe St,2020,2109
Francisco Ave & Foster Ave,2020,2101
Emerald Ave & 28th St,2020,2076
Troy St & Elston Ave,2020,2027
MLK Jr Dr & Pershing Rd,2020,2017
Morgan St & 31st St,2020,2014
Wells St & 19th St,2020,2001
Racine Ave & Washington Blvd,2020,1946
Shields Ave & 31st St,2020,1945
Canal St & Harrison St,2020,1944
Oakley Ave & Irving Park Rd,2020,1943
Leavitt St & Belmont Ave,2020,1938
Richmond St & Diversey Ave,2020,1938
Claremont Ave & Hirsch St,2020,1887
Woodlawn Ave & Lake Park Ave,2020,1868
May St & Cullerton St,2020,1850
Spaulding Ave & Division St,2020,1826
Albany Ave & Montrose Ave,2020,1811
New St & Illinois St,2020,1774
Clark St & Lunt Ave,2020,1763
Western Ave & Lunt Ave,2020,1756
South Shore Dr & 67th St,2020,1724
Kimball Ave & Belmont Ave,2020,1714
Paulina St & Howard St,2020,1699
Ogden Ave & Roosevelt Rd,2020,1693
Manor Ave & Leland Ave,2020,1686
Damen Ave & Madison St,2020,1663
McCormick Place,2020,1659
Leavitt St & Division St,2020,1648
Cottage Grove Ave & 51st St,2020,1635
Central Park Ave & Elbridge Ave,2020,1624
Leavitt St & Addison St,2020,1586
Western Ave & 21st St,2020,1576
Wentworth Ave & 24th St (Temp),2020,1568
Avers Ave & Belmont Ave,2020,1536
Clark St & Columbia Ave,2020,1500
Wallace St & 35th St,2020,1463
Winchester (Ravenswood) Ave & Balmoral Ave,2020,1452
Calumet Ave & 35th St,2020,1439
Central St & Girard Ave,2020,1438
Halsted St & Archer Ave,2020,1420
Central St Metra,2020,1417
Western Ave & Granville Ave,2020,1414
Kedzie Ave & Leland Ave,2020,1411
Ogden Ave & Congress Pkwy,2020,1410
Halsted St & North Branch St,2020,1409
Wood St & Taylor St (Temp),2020,1397
Christiana Ave & Lawrence Ave,2020,1381
Racine Ave & 15th St,2020,1367
Cottage Grove Ave & 47th St,2020,1357
Halsted St & 35th St,2020,1331
Warren Park West,2020,1330
Glenwood Ave & Touhy Ave,2020,1323
Normal Ave & Archer Ave,2020,1290
Hoyne Ave & Balmoral Ave,2020,1284
Sawyer Ave & Irving Park Rd,2020,1272
Cottage Grove Ave & 43rd St,2020,1255
Throop St & Taylor St,2020,1246
Kedzie Ave & Chicago Ave,2020,1240
Loomis St & Archer Ave,2020,1233
Warren Park East,2020,1225
Smith Park,2020,1223
Avondale Ave & Irving Park Rd,2020,1216
Central Park Ave & North Ave,2020,1211
Monticello Ave & Irving Park Rd,2020,1202
Kedzie Ave & Foster Ave,2020,1159
Damen Ave & Walnut (Lake) St,2020,1113
Kedzie Ave & Bryn Mawr Ave,2020,1103
Halsted St & 21st St,2020,1102
Dorchester Ave & 49th St,2020,1100
Valli Produce - Evanston Plaza,2020,1097
MLK Jr Dr & 47th St,2020,1072
Keystone Ave & Fullerton Ave,2020,1070
Prairie Ave & 43rd St,2020,1058
Racine Ave & 13th St,2020,1039
Clark St & Jarvis Ave,2020,1021
Evanston Civic Center,2020,1009
Wood St & Chicago Ave (*),2020,1004
Shields Ave & 28th Pl,2020,988
2112 W Peterson Ave,2020,968
California Ave & 23rd Pl,2020,948
Drake Ave & Montrose Ave,2020,946
Clinton St & Polk St,2020,945
Budlong Woods Library,2020,929
Dorchester Ave & 63rd St,2020,917
California Ave & 21st St,2020,909
Keystone Ave & Montrose Ave,2020,905
Milwaukee Ave & Cuyler Ave,2020,873
St. Louis Ave & Balmoral Ave,2020,869
Washtenaw Ave & Ogden Ave,2020,867
Jeffery Blvd & 67th St,2020,849
Calumet Ave & 51st St,2020,848
Wentworth Ave & 33rd St,2020,847
Kedzie Ave & Lake St,2020,838
Elmwood Ave & Austin St,2020,832
Malcolm X College,2020,829
Cherry Ave & Blackhawk St,2020,818
South Shore Dr & 74th St,2020,806
Racine Ave & 35th St,2020,798
Western Ave & 24th St,2020,793
DuSable Museum,2020,788
Dodge Ave & Mulford St,2020,785
Leavitt St & Division St (*),2020,775
Wood St & 35th St,2020,775
Dodge Ave & Church St,2020,773
Pulaski Rd & Eddy St (Temp),2020,764
Maplewood Ave & Peterson Ave,2020,757
Damen Ave & Coulter St,2020,752
Wentworth Ave & Cermak Rd (Temp),2020,752
Lincolnwood Dr & Central St,2020,745
Clark St & Touhy Ave,2020,739
Racine Ave & Washington Blvd (*),2020,734
Conservatory Dr & Lake St,2020,730
Archer (Damen) Ave & 37th St,2020,727
Jeffery Blvd & 71st St,2020,725
Bernard St & Elston Ave,2020,721
State St & 29th St,2020,721
California Ave & Lake St,2020,715
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),2020,715
Western Ave & Howard St,2020,712
Leavitt St & Archer Ave,2020,706
Ashland Ave & Archer Ave,2020,698
Halsted St & 37th St,2020,671
Oakley Ave & Touhy Ave,2020,651
Kilbourn Ave & Milwaukee Ave,2020,629
Damen Ave & Pershing Rd,2020,627
Kildare Ave & Montrose Ave,2020,627
Drake Ave & Addison St,2020,604
Wentworth Ave & 35th St,2020,604
Prairie Ave & Garfield Blvd,2020,583
Indiana Ave & 40th St,2020,571
Austin Blvd & Lake St,2020,568
Cottage Grove Ave & 63rd St,2020,563
Union Ave & Root St,2020,550
Kilbourn Ave & Irving Park Rd,2020,543
Halsted St & 47th Pl,2020,530
Stony Island Ave & 67th St,2020,528
Knox Ave & Montrose Ave,2020,522
Ridge Blvd & Touhy Ave,2020,517
Leavitt St & Belmont Ave (*),2020,515
Western Ave & Fillmore St (*),2020,496
Eberhart Ave & 61st St,2020,495
Sacramento Blvd & Franklin Blvd,2020,495
Fairfield Ave & Roosevelt Rd,2020,483
Cornell Dr & Hayes Dr,2020,478
Stony Island Ave & 71st St,2020,475
Bosworth Ave & Howard St,2020,474
Ridge Blvd & Howard St,2020,456
Central Ave & Chicago Ave,2020,450
Damen Ave & Walnut (Lake) St (*),2020,449
St. Louis Ave & Fullerton Ave,2020,433
Central Park Ave & Ogden Ave,2020,429
Stony Island Ave & 64th St,2020,418
Rainbow Beach,2020,414
MLK Jr Dr & 56th St,2020,413
Wolcott Ave & Fargo Ave,2020,413
Millard Ave & 26th St,2020,411
Western Blvd & 48th Pl,2020,392
State St & Pershing Rd,2020,385
Stony Island Ave & 75th St,2020,381
Austin Blvd & Madison St,2020,370
Albany Ave & 26th St,2020,369
W Oakdale Ave & N Broadway,2020,349
Kedzie Ave & 21st St,2020,332
Racine Ave & Garfield Blvd,2020,331
Smith Park (*),2020,331
Austin Blvd & Chicago Ave,2020,321
Kedzie Ave & Roosevelt Rd,2020,309
MLK Jr Dr & 63rd St,2020,303
Hoyne Ave & 47th St,2020,291
Western Ave & 28th St,2020,290
Cottage Grove Ave & 67th St,2020,287
Princeton Ave & 47th St,2020,281
Yates Blvd & 75th St,2020,281
Ashland Ave & Pershing Rd,2020,280
Phillips Ave & 79th St,2020,280
Ashland Ave & McDowell Ave,2020,272
Jeffery Blvd & 76th St,2020,272
Princeton Ave & Garfield Blvd,2020,270
Central Ave & Madison St,2020,267
Commercial Ave & 83rd St,2020,265
Cottage Grove Ave & 83rd St,2020,265
Wabash Ave & 87th St,2020,259
Halsted St & 63rd St,2020,252
Kedzie Ave & 24th St,2020,242
Central Park Blvd & 5th Ave,2020,241
Cottage Grove Ave & 78th St,2020,235
State St & 79th St,2020,233
Greenwood Ave & 79th St,2020,227
Central Ave & Lake St,2020,217
Stony Island Ave & 82nd St,2020,214
Kedzie Ave & Harrison St,2020,208
Kostner Ave & Adams St,2020,206
Laramie Ave & Madison St,2020,203
Central Ave & Harrison St,2020,196
Central Park Ave & 24th St,2020,196
Phillips Ave & 83rd St,2020,195
Pulaski Rd & Lake St,2020,195
State St & 54th St,2020,195
Cicero Ave & Quincy St,2020,193
Vernon Ave & 75th St,2020,193
Marshfield Ave & 44th St,2020,189
Exchange Ave & 79th St,2020,184
Wentworth Ave & 63rd St,2020,173
Perry Ave & 69th St,2020,170
Pulaski Rd & Congress Pkwy,2020,170
Morgan St & Pershing Rd,2020,166
California Ave & 26th St,2020,165
Stony Island Ave & South Chicago Ave,2020,162
Ashland Ave & Garfield Blvd,2020,159
Karlov Ave & Madison St,2020,159
Prospect Sq & 91st St,2020,155
Calumet Ave & 71st St,2020,153
Ashland Ave & 50th St,2020,145
Damen Ave & 59th St,2020,144
Wabash Ave & 83rd St,2020,143
Latrobe Ave & Chicago Ave,2020,141
Evans Ave & 75th St,2020,135
Ellis Ave & 83rd St,2020,131
Elizabeth St & 92nd St,2020,122
Eggleston Ave & 69th St,2020,120
MLK Jr Dr & 83rd St,2020,116
Vernon Ave & 79th St,2020,114
Michigan Ave & 71st St,2020,111
Halsted St & 51st St,2020,110
Big Marsh Park,2020,105
Seeley Ave & Garfield Blvd,2020,105
Ashland Ave & 63rd St,2020,104
Loomis Blvd & 84th St,2020,103
Cicero Ave & Lake St,2020,102
Eberhart Ave & 91st St,2020,96
Halsted St & 69th St,2020,96
Elizabeth St & 47th St,2020,95
Halsted St & 56th St,2020,91
Cottage Grove Ave & 71st St,2020,86
Greenwood Ave & 97th St,2020,86
Damen Ave & 51st St,2020,84
Throop St & 52nd St,2020,83
Houston Ave & 92nd St,2020,82
W Armitage Ave & N Sheffield Ave,2020,82
Ashland Ave & 69th St,2020,80
Ashland Ave & 78th St,2020,80
Kenton Ave & Madison St,2020,80
Baltimore Ave & 87th St,2020,77
Bennett Ave & 79th St,2020,76
State St & 95th St,2020,76
Cicero Ave & Flournoy St,2020,75
Indiana Ave & 103rd St,2020,74
Halsted St & 59th St,2020,73
Laramie Ave & Kinzie St,2020,73
Stewart Ave & 63rd St,2020,72
Racine Ave & 65th St,2020,71
South Chicago Ave & 83rd St,2020,70
State St & 76th St,2020,68
Oglesby Ave & 100th St,2020,67
Laramie Ave & Gladys Ave,2020,65
May St & 69th St,2020,64
Woodlawn Ave & 75th St,2020,64
Vincennes Ave & 75th St,2020,59
Ashland Ave & 66th St,2020,56
Stewart Ave & 83rd St,2020,56
Eggleston Ave & 92nd St,2020,55
East End Ave & 87th St,2020,53
Kostner Ave & Lake St,2020,51
Halsted St & 78th St,2020,50
Summit Ave & 86th St,2020,50
Rhodes Ave & 71st St,2020,42
Marquette Ave & 89th St,2020,41
Burnham Greenway & 105th St,2020,40
Vernon Ave & 107th St,2020,40
Halsted St & 73rd St,2020,39
Shields Ave & 43rd St,2020,36
Major Taylor Trail & 115th St,2020,35
Elizabeth St & 59th St,2020,34
Halsted St & 96th St,2020,33
Avenue O & 134th St,2020,32
Bradley Park,2020,32
Cottage Grove Ave & 111th Pl,2020,31
Dauphin Ave & 87th St,2020,31
Stony Island Ave & 90th St,2020,30
Greenwood Ave & 91st St,2020,29
Walden Pkwy & 100th St,2020,29
Marshfield Ave & 59th St,2020,27
Dauphin Ave & 103rd St,2020,25
South Chicago Ave & Elliot Ave,2020,24
Carpenter St & 63rd St,2020,22
Clyde Ave & 87th St,2020,21
Commercial Ave & 130th St,2020,21
Constance Ave & 95th St,2020,21
Halsted St & 104th St,2020,21
Halsted St & 111th St,2020,21
